job_title,company_name,salary,salary_currency
"AI Architect","Future Systems",398084,USD
"Data Scientist","DeepTech Ventures",388754,USD
"AI Specialist","Machine Intelligence Group",370038,USD
"Principal Data Scientist","Digital Transformation LLC",364635,USD
"Autonomous Systems Engineer","Cloud AI Solutions",364585,USD
"Data Analyst","Algorithmic Solutions",361541,USD
"NLP Engineer","DataVision Ltd",354647,USD
"AI Senior level Scientist","DeepTech Ventures",353726,USD
"ML Ops Engineer","Cloud AI Solutions",352006,USD
"Principal Data Scientist","TechCorp Inc",349562,USD
